@relation .\arff\sample03.arff

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
-0.21, -0.73, 1, -10.85, -11.25, -151.37, 1.25579, 152.175, 1.38167, 120.861, 0
-0.19, -0.53, 0.76, 16.69, 25.46, -188.73, 0.945833, 191.17, 1.37667, 127.238, 40.5358
0.03, -0.76, 0.81, 59.97, -26.13, -250, 1.11113, 258.417, 1.39733, 135.861, 35.9041
0.15, -0.06, 0.86, 9.72, -44.09, -5.85, 0.875043, 45.5261, 1.36833, 132.067, 30.6834
0.34, 0, 0.69, -29.76, 14.63, -12.7, 0.76922, 35.5103, 1.35333, 126.274, 46.3699
0.33, -0.2, 1.05, 15.24, 50.51, -32.3, 1.11866, 61.8612, 1.35267, 118.339, 87.134
0.17, -0.01, 0.58, -100.46, 55.13, -13.92, 0.604483, 115.435, 1.33467, 122.082, 54.5495
-0.08, -0.27, 0.89, -20.17, 48.58, -38.2, 0.933488, 65.0083, 1.333, 121.867, 27.1268
-0.04, -0.41, 1, 2.32, 15.22, -31.2, 1.08153, 34.7918, 1.313, 120.482, 0
0.04, -0.24, 0.98, -42.85, 9.84, -26.34, 1.00975, 51.2518, 1.31267, 117.499, 11.4783
-0.17, -0.38, 0.99, 1.85, 26.9, 13.43, 1.07396, 30.123, 1.32133, 114.869, 8.10961
-0.06, -0.27, 0.75, 23.9, -47.84, -2.72, 0.799375, 53.5469, 1.32567, 115.57, 41.4096
-0.08, -0.22, 0.77, 69.17, 5.93, 7.21, 0.804798, 69.7971, 1.325, 115.338, 39.6461
0.03, -0.17, 1, 23.66, -26.05, 28.08, 1.01479, 45.0209, 1.32467, 114.914, 0
0.01, -0.16, 0.85, 33.05, -27.23, 36.6, 0.864986, 56.3324, 1.31767, 117.854, 31.7883
0.49, -0.12, 0.71, -15.65, -14.51, -88.82, 0.870976, 91.348, 1.32733, 120.817, 44.7651
0.38, -0.26, 0.79, -3.82, 12.33, -116.87, 0.914385, 117.581, 1.317, 123.403, 37.8145
0.39, -0.02, 1, -14.16, 34.79, -133.33, 1.07355, 138.52, 1.32267, 125.653, 0
0.33, -0.21, 0.99, -23.5, 27.6, -96.05, 1.06447, 102.663, 1.32967, 126.592, 8.10961
0.11, -0.02, 0.91, -106.8, 73.97, -59.12, 0.916842, 142.734, 1.31667, 130.154, 24.4946
0.19, -0.38, 0.66, -71.05, 57.55, -67.47, 0.78492, 113.632, 1.31067, 130.614, 48.7001
-0.05, -0.38, 0.85, -35.69, 119.29, -22.96, 0.932416, 126.614, 1.30233, 131.64, 31.7883
0.22, -0.12, 0.71, 1.16, 49.95, 8.68, 0.752928, 50.7118, 1.30267, 125.637, 44.7651
-0.15, -0.62, 1.05, -52.49, 116.03, -13.01, 1.22858, 128.013, 1.32233, 125.152, 87.134
-0.31, -0.31, 1.01, -8.29, -3.94, -27.35, 1.10104, 28.8491, 1.334, 120.54, 89.427
0.01, -0.2, 0.77, -59.22, -8.57, -9.62, 0.795613, 60.6053, 1.33167, 121.128, 39.6461
-0.06, -0.54, 0.88, -21.77, 20.52, 6.28, 1.03421, 30.5686, 1.32033, 116.696, 28.3576
-0.21, -0.73, 1, -10.85, -11.25, -151.37, 1.25579, 152.175, 1.33067, 121.159, 0
-0.19, -0.53, 0.76, 16.69, 25.46, -188.73, 0.945833, 191.17, 1.34733, 126.274, 40.5358
0.03, -0.76, 0.81, 59.97, -26.13, -250, 1.11113, 258.417, 1.35133, 135.859, 35.9041
0.17, -0.12, 1.12, 7.2, -10.48, 3.56, 1.13917, 13.2039, 1.33367, 130.784, 83.1079
0.25, -0.17, 1.01, -10.22, -25.63, -10.59, 1.05428, 29.5549, 1.332, 124.636, 89.427
0.22, -0.07, 1, 1.63, -2.76, -18.94, 1.0263, 19.2093, 1.32167, 114.211, 0
0.17, -0.12, 0.85, 4.48, 40.62, -38.21, 0.8751, 55.9469, 1.324, 114.999, 31.7883
-0.07, -0.14, 0.98, -8.01, 47.36, -22.59, 0.992421, 53.0795, 1.32933, 115.695, 11.4783
0.01, -0.16, 1.05, 25.44, 43.85, -44.11, 1.06217, 67.199, 1.31733, 116.206, 87.134
-0.28, -0, 0.94, 8.04, 14.46, -12.82, 0.980816, 20.9305, 1.33267, 111.733, 19.9484
-0.34, -0.06, 1.2, -2.04, -32.16, -2.09, 1.24868, 32.2923, 1.34467, 109.378, 78.463
-0.27, -0.09, 0.71, -16.14, -100.96, 26.86, 0.764918, 105.711, 1.332, 112.552, 44.7651
0.27, -0.19, 1.09, 28.06, -176.15, -9.99, 1.1389, 178.65, 1.34167, 117.058, 84.8364
0.54, -0.05, 0.87, 26.87, -125.21, -41.15, 1.02518, 134.51, 1.339, 122.093, 29.5414
0.49, -0.12, 0.71, -15.65, -14.51, -88.82, 0.870976, 91.348, 1.347, 123.577, 44.7651
0.38, -0.26, 0.79, -3.82, 12.33, -116.87, 0.914385, 117.581, 1.359, 125.267, 37.8145
0.39, -0.02, 1, -14.16, 34.79, -133.33, 1.07355, 138.52, 1.366, 128.75, 0
